Comuna:	Comuna 1	Barrio:	Avenida Santander
Comuna:	Comuna 1	Barrio:	Bombona
Comuna:	Comuna 1	Barrio:	Avenida Boyacá
Comuna:	Comuna 1	Barrio:	Caracha
Comuna:	Comuna 1	Barrio:	Centro
Comuna:	Comuna 1	Barrio:	Condominio Santiago
Comuna:	Comuna 1	Barrio:	El Churo
Comuna:	Comuna 1	Barrio:	El Cilindro
Comuna:	Comuna 1	Barrio:	El Parque
Comuna:	Comuna 1	Barrio:	El Portalito
Comuna:	Comuna 1	Barrio:	Hullaguanga
Comuna:	Comuna 1	Barrio:	La Panadería
Comuna:	Comuna 1	Barrio:	Las Américas
Comuna:	Comuna 1	Barrio:	Los Dos Puentes
Comuna:	Comuna 1	Barrio:	Marcos De La Rosa
Comuna:	Comuna 1	Barrio:	San Agustín Centro
Comuna:	Comuna 1	Barrio:	San Andrés
Comuna:	Comuna 1	Barrio:	San Andresito
Comuna:	Comuna 1	Barrio:	San Andresito
Comuna:	Comuna 1	Barrio:	San José
Comuna:	Comuna 1	Barrio:	San José Obrero
Comuna:	Comuna 1	Barrio:	Santiago
Comuna:	Comuna 2	Barrio:	Aire Libre
Comuna:	Comuna 2	Barrio:	Alhambra
Comuna:	Comuna 2	Barrio:	Atahualpa
Comuna:	Comuna 2	Barrio:	Avenida Boyacá
Comuna:	Comuna 2	Barrio:	Avenida Champagnath
Comuna:	Comuna 2	Barrio:	Avenida Colombia
Comuna:	Comuna 2	Barrio:	Bella Vista
Comuna:	Comuna 2	Barrio:	Casa Bella
Comuna:	Comuna 2	Barrio:	Coliseo Cubierto
Comuna:	Comuna 2	Barrio:	El Olivo
Comuna:	Comuna 2	Barrio:	El Prado
Comuna:	Comuna 2	Barrio:	El Recuerdo
Comuna:	Comuna 2	Barrio:	Fátima
Comuna:	Comuna 2	Barrio:	Javeriano
Comuna:	Comuna 2	Barrio:	Julián Bucheli
Comuna:	Comuna 2	Barrio:	La Gran Colombia
Comuna:	Comuna 2	Barrio:	Las lunas I
Comuna:	Comuna 2	Barrio:	las lunas II
Comuna:	Comuna 2	Barrio:	Las Violetas I
Comuna:	Comuna 2	Barrio:	Las Violetas II
Comuna:	Comuna 2	Barrio:	Las Violetas III
Comuna:	Comuna 2	Barrio:	Las Violetas IV
Comuna:	Comuna 2	Barrio:	Los Abedules
Comuna:	Comuna 2	Barrio:	Los Álamos
Comuna:	Comuna 2	Barrio:	Los Balcones
Comuna:	Comuna 2	Barrio:	Los Olivos
Comuna:	Comuna 2	Barrio:	Medardo Bucheli
Comuna:	Comuna 2	Barrio:	Navarrete
Comuna:	Comuna 2	Barrio:	Normandía
Comuna:	Comuna 2	Barrio:	Parque Bolívar
Comuna:	Comuna 2	Barrio:	Salomón
Comuna:	Comuna 2	Barrio:	San Miguel
Comuna:	Comuna 2	Barrio:	Sector San Juan Bosco
Comuna:	Comuna 2	Barrio:	Villa Lucia
Comuna:	Comuna 3	Barrio:	iAlejandría
Comuna:	Comuna 3	Barrio:	Arnulfo Guerrero
Comuna:	Comuna 3	Barrio:	Caicedonia
Comuna:	Comuna 3	Barrio:	Camilo Torres
Comuna:	Comuna 3	Barrio:	Casa Loma
Comuna:	Comuna 3	Barrio:	El Ejido
Comuna:	Comuna 3	Barrio:	Guamuez
Comuna:	Comuna 3	Barrio:	José Antonio Galán
Comuna:	Comuna 3	Barrio:	La Esmeralda
Comuna:	Comuna 3	Barrio:	La Estrella
Comuna:	Comuna 3	Barrio:	Las Brisas
Comuna:	Comuna 3	Barrio:	Las Lajas
Comuna:	Comuna 3	Barrio:	Las Mercedes
Comuna:	Comuna 3	Barrio:	Los Pinos
Comuna:	Comuna 3	Barrio:	Mercedario
Comuna:	Comuna 3	Barrio:	Pie De Cuesta
Comuna:	Comuna 3	Barrio:	Pinar Del Rio
Comuna:	Comuna 3	Barrio:	Popular
Comuna:	Comuna 3	Barrio:	Pucalpa I
Comuna:	Comuna 3	Barrio:	Pucalpa II
Comuna:	Comuna 3	Barrio:	Pucalpa III
Comuna:	Comuna 3	Barrio:	Rosal Del Oriente
Comuna:	Comuna 3	Barrio:	Santa Bárbara
Comuna:	Comuna 3	Barrio:	Santa Catalina
Comuna:	Comuna 3	Barrio:	Santa Mónica
Comuna:	Comuna 3	Barrio:	Villa Oriente
Comuna:	Comuna 3	Barrio:	Villaflor I
Comuna:	Comuna 3	Barrio:	Villaflor II
Comuna:	Comuna 4	Barrio:	Albergue Del Sol
Comuna:	Comuna 4	Barrio:	Altos De Lorenzo
Comuna:	Comuna 4	Barrio:	Altos Del Campo
Comuna:	Comuna 4	Barrio:	Avenida Idema
Comuna:	Comuna 4	Barrio:	Belén
Comuna:	Comuna 4	Barrio:	Bernal
Comuna:	Comuna 4	Barrio:	Betania
Comuna:	Comuna 4	Barrio:	Chile
Comuna:	Comuna 4	Barrio:	Doce De Octubre I
Comuna:	Comuna 4	Barrio:	Doce De Octubre II
Comuna:	Comuna 4	Barrio:	El Porvenir
Comuna:	Comuna 4	Barrio:	El Rosario
Comuna:	Comuna 4	Barrio:	El Tejar
Comuna:	Comuna 4	Barrio:	El Triunfo
Comuna:	Comuna 4	Barrio:	La Paz
Comuna:	Comuna 4	Barrio:	Laureano Gómez
Comuna:	Comuna 4	Barrio:	Lorenzo De Aldana
Comuna:	Comuna 4	Barrio:	Los Elíseos
Comuna:	Comuna 4	Barrio:	Miraflores I
Comuna:	Comuna 4	Barrio:	Miraflores II
Comuna:	Comuna 4	Barrio:	Praga
Comuna:	Comuna 4	Barrio:	Puerta Del Sol
Comuna:	Comuna 4	Barrio:	Rincón Colonial
Comuna:	Comuna 4	Barrio:	San Germán
Comuna:	Comuna 4	Barrio:	San Juan De Los Pastos
Comuna:	Comuna 4	Barrio:	Santa Fe I
Comuna:	Comuna 4	Barrio:	Santa Fe II
Comuna:	Comuna 4	Barrio:	Santacruz
Comuna:	Comuna 4	Barrio:	Sendoya
Comuna:	Comuna 4	Barrio:	Siete De Agosto
Comuna:	Comuna 4	Barrio:	Villa Olímpica
Comuna:	Comuna 4	Barrio:	Villa Victoria
Comuna:	Comuna 4	Barrio:	Villadocente
Comuna:	Comuna 5	Barrio:	Altos De Chapalito I
Comuna:	Comuna 5	Barrio:	Altos De Chapalito II
Comuna:	Comuna 5	Barrio:	Altos De Chapalito III
Comuna:	Comuna 5	Barrio:	Antonio Nariño
Comuna:	Comuna 5	Barrio:	Cantarana
Comuna:	Comuna 5	Barrio:	Chambú I
Comuna:	Comuna 5	Barrio:	Chambú II
Comuna:	Comuna 5	Barrio:	Chapal
Comuna:	Comuna 5	Barrio:	Chapal II
Comuna:	Comuna 5	Barrio:	El Pilar
Comuna:	Comuna 5	Barrio:	El Progreso
Comuna:	Comuna 5	Barrio:	El Remanso
Comuna:	Comuna 5	Barrio:	Emilio Botero I
